OPCD  0.000    From Panteva et al. JPCB, 2015, 119, 15460
OA    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
OH    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
OS    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
OW    0.000    From "The Structure and Properties of Water" by D. Eisenberg and W. Kauzmann
o     0.000    Referenced or adopted from Miller JACS,112,8533(1990)
oh    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
os    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
ow    0.000    From "The Structure and Properties of Water" by D. Eisenberg and W. Kauzmann
Oh    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
Os    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
Oy    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
oC    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
oH    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
oO    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
oP    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
oS    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
oT    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
S     0.000    Referenced or adopted from Miller JACS,112,8533(1990)
SH    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
s     0.000    Referenced or adopted from Miller JACS,112,8533(1990)
s2    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
s4    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
s6    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
sh    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
ss    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
sx    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
sy    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
Sm    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
P     0.000    Referenced or adopted from Miller JACS,112,8533(1990)
p2    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
p3    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
p4    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
p5    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
pb    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
pc    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
pd    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
pe    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
pf    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
px    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
py    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
pA    0.000    Referenced or adopted from Miller JACS,112,8533(1990)
F     0.000    From Applequist et al. JACS,94,2952(1972)
Cl    0.000    From Applequist et al. JACS,94,2952(1972)
CL    0.000    From Applequist et al. JACS,94,2952(1972)
Br    0.000    From Applequist et al. JACS,94,2952(1972)
I     0.000    From Applequist et al. JACS,94,2952(1972)
f     0.000    From Applequist et al. JACS,94,2952(1972)
cl    0.000    From Applequist et al. JACS,94,2952(1972)
br    0.000    From Applequist et al. JACS,94,2952(1972)
i     0.000    From Applequist et al. JACS,94,2952(1972)
HW    0.000    Water hydrogen, dummy atom or lone pair
hw    0.000    Water hydrogen, dummy atom or lone pair
EP    0.000    Water hydrogen, dummy atom or lone pair
EPW   0.000    Water hydrogen, dummy atom or lone pair
EP1   0.000    Water hydrogen, dummy atom or lone pair
EP2   0.000    Water hydrogen, dummy atom or lone pair
LP    0.000    Water hydrogen, dummy atom or lone pair
H+    0.000    Proton has no electron
Li    0.000    From Sangster and Atwood J. Phys. C: Solid State Phys.11,1541(1978)
Li+   0.000    From Sangster and Atwood J. Phys. C: Solid State Phys.11,1541(1978)
